,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
10,2008-06-30,1725944940,1725944940,1,21894000000,3258000000,21391000000,3933000000,503000000,0,0,0,13370000000,3382000000,188000000,188000000,0.11,0.11,0.08,909000000,-521000000,-267000000,121000000,755000000,534000000,4.67,5.55,3.78,None,0.1247,0.29,15.57,3.13,3.55,0.1001,26.5805,0.023,0.2034,0.61,0.22,0.8284,Q
11,2008-03-31,1748893340,1748893340,1,21944000000,3168000000,21414000000,3924000000,530000000,0,0,0,13402000000,3399000000,157000000,157000000,0.09,0.09,0.08,388000000,-380000000,-276000000,-268000000,634000000,416000000,5.76,7.07,4.44,None,0.1294,0.3,18,3.79,3.47,0.0494,25.2868,0.0242,0.2064,0.63,-0.02,0.8073,Q
12,2007-12-31,1767268594,1767268594,1,22532000000,3573000000,21969000000,4209000000,563000000,0,0,0,13650000000,3435000000,366000000,366000000,0.2,0.19,0.0,900000000,-578000000,-539000000,-217000000,902000000,489000000,7.91,9.58,6.23,None,0.1352,0.32,49.44,5.53,3.39,0,24.2451,0.025,0.2117,0.64,0.23,0.8489,Q
13,2007-09-30,1804853402,1804853402,1,22711000000,3769000000,22420000000,5255000000,291000000,0,0,0,12779000000,3434000000,2065000000,2065000000,1.14,1.08,0.0,753000000,-295000000,-208000000,250000000,1119000000,420000000,9.01,9.96,8.05,None,0.1291,0.16,None,20.48,3.39,0,43.9141,0.0128,0.1985,0.65,0.18,0.7172,Q
14,2007-06-30,1827863021,1827863021,1,20389000000,3087000000,21945000000,4350000000,-1556000000,0,0,0,13207000000,3463000000,246000000,246000000,0.13,0.13,0.0,1105000000,-420000000,-703000000,-18000000,869000000,426000000,9.56,10.45,8.68,None,0.0419,-0.85,None,25.84,3.39,0,None,None,0.063,0.67,0.37,0.7097,Q
15,2007-03-31,1849193419,1849193419,1,20701000000,3194000000,22235000000,4634000000,-1534000000,0,0,0,13199000000,3446000000,240000000,240000000,0.13,0.12,0.0,268000000,-308000000,-314000000,-354000000,887000000,318000000,8.52,9.16,7.87,None,0.0353,-0.83,None,28.4,3.39,0,None,None,0.0536,0.66,-0.03,0.6893,Q
16,2006-12-31,1867305716,1867305716,1,21239000000,3654000000,22684000000,5160000000,-1445000000,0,0,0,13206000000,3488000000,194000000,194000000,0.1,0.1,0.0,860000000,-319000000,-262000000,279000000,1241000000,296000000,8.22,9.03,7.41,None,0.028,-0.77,None,None,3.39,0,None,None,0.0426,0.66,0.3,0.7081,Q
17,2006-09-30,1914377278,1914377278,1,21114000000,3575000000,23690000000,5144000000,-2576000000,0,0,0,13228000000,3487000000,194000000,194000000,0.1,0.09,0.0,752000000,-492000000,-487000000,-227000000,962000000,378000000,8.34,9.22,7.46,None,-0.0061,-1.35,None,None,3.39,None,None,None,None,0.65,0.2,0.695,Q
18,2006-06-30,1905231777,1905231777,1,21292000000,3553000000,24118000000,6095000000,-2826000000,0,0,0,12693000000,3472000000,117000000,117000000,0.06,0.06,0.0,1037000000,-497000000,39000000,579000000,1189000000,421000000,7.11,8.09,6.12,None,-0.0213,-1.48,None,None,3.39,None,None,None,None,0.64,0.32,0.5829,Q
19,2006-03-31,1885989398,1885989398,1,21126000000,3024000000,24186000000,3947000000,-3060000000,0,0,0,14834000000,3476000000,88000000,88000000,0.05,0.05,0.0,140000000,-392000000,16000000,-236000000,610000000,364000000,6.29,7.48,5.1,None,-0.0331,-1.62,None,None,3.39,None,None,None,None,0.62,-0.12,0.7662,Q
20,2005-12-31,1868988842,1868988842,1,21497000000,3164000000,24714000000,4235000000,-3217000000,0,0,0,14968000000,3480000000,-528000000,-528000000,-0.28,-0.28,0.0,725000000,-17000000,-2173000000,-1465000000,846000000,501000000,4.94,5.95,3.92,None,-0.0334,-1.72,None,None,3.39,None,None,None,None,0.6,0.12,0.7471,Q
21,2005-09-30,1859995238,1859995238,1,23727000000,5054000000,26443000000,4232000000,-2716000000,0,0,0,16702000000,3504000000,-144000000,-144000000,-0.08,-0.08,0.0,675000000,-386000000,-223000000,66000000,2311000000,445000000,3.91,4.23,3.58,None,-0.0162,-1.46,None,None,3.39,None,None,None,None,0.58,0.12,1.1942,Q
22,2005-06-30,1837409794,1837409794,1,24070000000,4898000000,26733000000,3650000000,-2663000000,0,0,0,17287000000,3470000000,-164000000,-164000000,-0.09,-0.09,0.0,570000000,30000000,239000000,839000000,2245000000,352000000,3.62,3.94,3.3,None,-0.0335,-1.45,None,None,3.39,None,None,None,None,0.57,0.12,1.3419,Q
23,2005-03-31,1817555372,1817555372,1,24129000000,4528000000,26693000000,4059000000,-2564000000,0,0,0,16691000000,3449000000,57000000,57000000,0.03,0.03,0.0,343000000,-86000000,-2000000,255000000,1406000000,-105000000,4.18,4.86,3.5,None,-0.058,-1.41,None,None,3.39,None,None,None,None,0.56,0.25,1.1155,Q
24,2004-12-31,1816625816,1816625816,1,24324000000,4218000000,26936000000,4286000000,-2612000000,0,0,0,16690000000,3437000000,-139000000,-139000000,-0.09,-0.09,0.0,239000000,-337000000,59000000,-39000000,1770000000,339000000,3.93,4.61,3.25,None,-0.0717,-1.44,None,None,3.39,None,None,None,None,0.55,-0.06,0.9841,Q
25,2004-09-30,1815907850,1815907850,1,24926000000,4246000000,27403000000,4755000000,-2477000000,0,0,1216000000,16545000000,3449000000,-569000000,-569000000,-0.31,-0.31,0.0,765000000,-342000000,-65000000,358000000,1809000000,403000000,3.28,4.0,2.56,None,-0.0809,-1.36,None,14.91,3.39,None,None,None,None,0.54,0.2,0.893,Q
26,2004-06-30,1815083069,1815083069,1,25106000000,4086000000,27015000000,4641000000,-1909000000,0,0,1346000000,16407000000,3442000000,-776000000,-776000000,-0.43,-0.43,0.0,284000000,-540000000,-173000000,-429000000,1451000000,486000000,3.96,4.4,3.51,None,0.0126,-1.05,None,6.49,3.39,0,None,None,0.0242,0.52,-0.11,0.8804,Q
27,2004-03-31,1784346140,1784346140,1,25679000000,4264000000,26930000000,4553000000,-1251000000,0,0,1532000000,16544000000,3481000000,-310000000,-310000000,-0.17,-0.17,0.0,560000000,-457000000,21000000,124000000,1880000000,455000000,4.25,5.0,3.5,None,0.0376,-0.7,None,4.89,3.39,0,None,None,0.0742,0.51,0.06,0.9365,Q
28,2003-12-31,1771801427,1771801427,1,26216000000,4416000000,27232000000,5548000000,-1016000000,0,0,1549000000,15639000000,3498000000,-407000000,-407000000,-0.23,-0.23,0.0,297000000,-868000000,-3762000000,-4333000000,1756000000,615000000,3.81,4.35,3.28,None,0.0525,-0.57,None,None,3.39,0,None,None,0.1058,0.5,-0.18,0.796,Q
29,2003-09-30,1766172618,1766172618,1,30462000000,8498000000,31096000000,5288000000,-634000000,0,0,1536000000,20242000000,3570000000,1831000000,1831000000,1.05,1.05,0.0,603000000,-516000000,-1106000000,-962000000,6089000000,532000000,4.29,5.19,3.38,None,-0.619,-0.36,None,None,3.39,None,None,None,None,0.48,0.04,1.607,Q
30,2003-06-30,1768301330,1768301330,1,29224000000,6473000000,31793000000,5059000000,-2569000000,0,0,1585000000,21335000000,3596000000,-64000000,-64000000,-0.04,-0.04,0.0,438000000,-520000000,190000000,193000000,2761000000,505000000,4.34,5.28,3.4,None,None,-1.45,None,None,3.39,None,None,None,None,None,-0.04,1.2795,Q
31,2003-03-31,1768301330,1768301330,1,29210000000,6276000000,31793000000,6676000000,-2583000000,0,0,1585000000,19650000000,3624000000,152000000,152000000,0.09,0.09,0.0,837000000,-436000000,-178000000,315000000,2568000000,429000000,4.58,6.15,3.01,None,None,-1.46,None,None,3.39,None,None,None,None,None,0.23,0.9401,Q
32,2002-12-31,1761634561,1761634561,1,29345000000,6420000000,32175000000,6895000000,-2830000000,0,0,1612000000,19754000000,3333000000,-20217000000,-20217000000,-11.92,-11.92,0.0,None,None,None,None,2253000000,0,3.82,5.69,1.95,None,None,-1.61,None,None,3.39,None,None,None,None,None,None,0.9311,Q
33,2002-09-30,1710000000,1710000000,1,None,None,None,None,None,0,0,0,0,3772000000,-123000000,-123000000,-0.07,-0.07,0.0,None,None,None,None,None,0,2.35,3.6,1.11,None,None,None,None,None,3.39,None,None,None,None,None,None,None,Q
34,2002-06-30,1710000000,1710000000,1,None,None,None,None,None,0,0,0,0,3911000000,-17430000000,-17430000000,-10.39,-10.39,0.0,None,None,None,None,None,0,4.89,8.0,1.79,None,None,None,None,None,3.39,None,None,None,None,None,None,None,Q
35,2002-03-31,1676906200,1676906200,1,74262000000,6623000000,38293000000,9895000000,35969000000,0,0,34529000000,21427000000,4369000000,-698000000,-698000000,-0.42,-0.42,0.0,727000000,-1207000000,1601000000,1121000000,1378000000,1196000000,2.35,3.6,1.11,-0.1271,-0.063,21.45,0.11,None,3.39,None,0.5957,0.4844,None,0.26,-0.28,0.6693,Q
36,2001-12-31,1674855973,1674855973,1,73781000000,5757000000,37126000000,9989000000,36655000000,0,0,34523000000,20197000000,4656000000,-529000000,-529000000,-0.31,-0.31,0.45,678000000,-798000000,-48000000,-168000000,257000000,752000000,4.89,8.0,1.79,-0.106,-0.054,21.89,0.22,None,3.39,None,0.551,0.4968,None,0.26,-0.04,0.5763,Q
