,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
12,2016-03-31,217587943,217587943,1,8469173000,748054000,6011434000,579022000,2157581000,300158000,0,7007958000,4196722000,781732000,85444000,85444000,0.39,0.38,0.14,127058000,-74938000,-102114000,-49994000,79206000,16449000,23.23,25.08,21.37,0.1755,0.0467,9.92,2.33,11.62,25.21,4.018,1.9451,0.2548,0.1103,0.42,0.51,1.2919,TGNA
13,2015-12-31,219720167,219720167,1,8537758000,805159000,6056348000,606783000,2191971000,289439000,0,6984833000,4200816000,805264000,142505000,142505000,0.65,0.63,0.2,133873000,253194000,-375666000,11401000,129200000,43870000,25.27,28.68,21.85,0.1673,0.0465,9.98,2.63,5.88,25.07,3.8104,1.9165,0.2567,0.0998,0.47,0.41,1.3269,TGNA
14,2015-09-27,221692610,221692610,1,8874743000,1065919000,6465722000,722597000,2132902000,276119000,0,7074099000,4471119000,807086000,88255000,88255000,0.39,0.38,0.14,183825000,-36363000,-248685000,-101289000,117799000,19876000,27.7,32.97,22.42,0.3297,0.0942,9.62,1.86,6.25,24.87,1.7646,2.0963,0.2403,0.1805,0.52,0.74,1.4751,TGNA
15,2015-06-28,226471846,226471846,1,11093769000,1616397000,7453643000,1055116000,3367145000,272981000,0,7745337000,4453202000,1521392000,115867000,115867000,0.51,0.5,7.2,149944000,-78506000,11512000,83407000,219088000,35900000,36.14,38.01,34.27,0.3185,0.0947,14.87,2.49,7.48,24.73,1.7263,1.3225,0.3035,0.1667,0.57,0.5,1.5319999999999998,TGNA
16,2015-03-29,226856486,226856486,1,10984460000,1373468000,7435976000,1054784000,3294486000,253998000,0,7680812000,4351548000,1472765000,112894000,112894000,0.5,0.49,0.2,145464000,78951000,-206827000,17197000,135681000,19121000,33.09,36.56,29.62,0.3616,0.1082,14.52,2.31,7.21,17.53,0.1622,1.3209,0.2999,0.1836,0.59,0.56,1.3021,TGNA
17,2014-12-28,226851543,226851543,1,11205455000,1480465000,7695712000,1127936000,3254914000,254829000,0,7739520000,4488028000,1700967000,676029000,676029000,2.99,2.93,0.2,248598000,-1832290000,327887000,-1256031000,118484000,58795000,29.83,33.7,25.95,0.3612,0.1082,14.35,2.29,14.48,17.33,0.1704,1.3788,0.2905,0.1768,0.61,0.84,1.3125,TGNA
18,2014-09-28,225830862,225830862,1,9917060000,2444011000,6720755000,1123138000,2935367000,260938000,0,5409985000,4106717000,1443137000,118516000,118516000,0.52,0.51,0.2,217662000,124436000,602161000,943849000,1374515000,34654000,32.79,35.7,29.88,0.1703,0.0511,13.0,2.59,17.35,17.13,0.3798,1.399,0.29600000000000004,0.084,0.61,0.81,2.1761,TGNA
19,2014-06-29,225647176,225647176,1,9147565000,1462627000,6045080000,1005054000,2858111000,244374000,0,5271269000,3446737000,1460004000,208467000,208467000,0.92,0.9,0.2,188937000,50708000,-102199000,137689000,430666000,35054000,28.26,30.98,25.53,0.1628,0.0511,12.67,2.36,19.22,16.93,0.4144,1.2059,0.3124,0.0799,0.64,0.68,1.4553,TGNA
20,2014-03-30,226792490,226792490,1,9009727000,1571248000,6069476000,1011547000,2714142000,226109000,0,5246665000,3453895000,1404066000,59159000,59159000,0.26,0.25,0.2,166002000,-4955000,-337385000,-176226000,292977000,21851000,28.2,30.43,25.96,0.1324,0.0438,11.97,2.38,16.99,16.73,0.5309,1.2726,0.3012,0.0644,0.68,0.64,1.5533,TGNA
21,2013-12-29,227365020,227365020,1,9240706000,1923485000,6331295000,1007192000,2693098000,216313000,0,5267703000,3707010000,1368038000,90747000,90747000,0.39,0.4,0.2,162530000,-1363030000,858149000,-342164000,469203000,37739000,26.85,29.31,24.39,0.1549,0.0544,11.84,2.45,15.79,16.53,0.4699,1.3765,0.2914,0.0753,0.72,0.55,1.9098,TGNA
